"ID HEX"	"name"	"Group"	"Type"	"Note"
"0x14A"	"DarkMeden"	"Gimmick"	"DH hideout Black Hoshipon"	
"0x14B"	"DarkSilverStar"	"Gimmick"	"DH hideout Black Hoshipon"	
"0x14C"	"DarkMachanUnit"	"Gimmick"	"nothing (sukpon)"	
"0x14D"	"DarkUnitSelectCursor"	"Gimmick"		
"0x14E"	"DarkMedenDummy"	"Gimmick"	"Mecha Hoshipon"	
"0x14F"	"DarkMachanFlag"	"Gimmick"	"Sukopon flag"	
"0x150"	"CAGE_000"	"Gimmick"	"Cage (Rect)"	
"0x151"	"CAGE_001"	"Gimmick"	"Cage (Round)"	""
"0x152"	"P_ROCKFACE_LOW_000"	"Gimmick"		
"0x153"	"P_ROCKFACE_HI_000"	"Gimmick"		
"0x154"	"ED3_TON"	"Gimmick"	"Ton excited"	"Might be for ending scene"
"0x155"	"ED3_CHIN"	"Gimmick"	"Chin excited"	"No Texture, might be for ending scene"
"0x156"	"ED3_KAN"	"Gimmick"	"Kan excited"	"No Texture, might be for ending scene"
"0x157"	"ED3_HATA"	"Gimmick"	"Hatapon holding flag"	"Might be for ending scene"
"0x158"	"ED3_FLAG"	"Gimmick"	"Hatapon Flag (stand)"	"Might be for ending scene"
"0x159"	"ED3_SILVER"	"Gimmick"	"Silver Hoshipon (event)"	"Might be for ending scene"
"0x15A"	"EVENT_CREVICE"	"Gimmick"	"Portal for droppign pons"	"Ending Scene"
"0x15B"	"EVENT_GONE"	"Gimmick"	"Gong"	"Maybe Gong memory scene"
"0x15C"	"EVENT_FINA"	"Gimmick"	"Princess"	
"0x15D"	"EVENT_OTHERWORLD"	"Gimmick"	"Universe before earthend"	"Ending Scene"
"0x15E"	"EVENT_CLEARWALL"	"Gimmick"		
"0x15F"	"EVENT_ZMASK"	"Gimmick"	"Grey BG"	"For covering screen"
"0x160"	"DAZITO_OPETABLE"	"Gimmick"	"DH punishing machine"	"Rage and Fins punished here"
"0x161"	"DEVILDOM_ENTRANCE"	"Gimmick"	"Magma BG"	
"0x162"	"DEVILDOM_INSIDE_00"	"Gimmick"	"Magma BG Pillars"	
"0x163"	"DEVILDOM_INSIDE_01"	"Gimmick"	"Magma BG"	
"0x164"	"DEVILDOM_INSIDE_02"	"Gimmick"	"Magma BG"	
"0x165"	"ED3_SLIGHT"	"Gimmick"	"Hero spotlight"	"Ending choosing scene"
"0x166"	"ED3_WLIGHT"	"Gimmick"	"Hero spotlight bottom"	"Ending choosing scene"
"0x167"	"ED3_FLASH"	"Gimmick"	"Flashing bg"	"Ending choosing scene"
"0x168"	"ED3_PLIGHT"	"Gimmick"	"Purple BG with DH ending"	"Ending choosing scene"
"0x169"	"ED3_WASH"	"Gimmick"	"Hero disappear"	"Ending choosing scene"
"0x16A"	"ED3_BASH"	"Gimmick"	"Hero disappear"	"Ending choosing scene"
"0x16B"	"ED3_STAR"	"Gimmick"	"Purple BG with DH ending"	"Ending choosing scene"
"0x16C"	"FIREWALL"	"Gimmick"	"Big Fire in Gluttony"	
"0x16D"	"DARU_ROCKFACE"	"Gimmick"	"Black dark stone"	
"0x16E"	"OMENMASK_000"	"Monster"	"Ormen Karmen"	
"0x16F"	"KARMA"	"Monster"	"Queen Kharma"	
"0x170"	"MASKGATE_000"	"Gimmick"	"Karmen Gate (P2)"	"Parabola of hope, ultimate fortress"
"0x171"	"BATTERY_VS"	"Gimmick"	"VS Cannon"	"Not coloured"
"0x172"	"SNOWBALLBATTERY_VS"	"Gimmick"	"VS Snow Cannon"	"Not coloured"
"0x173"	"IRONFACE_VS"	"Gimmick"	"VS Iron Tower"	"Not coloured"
